ID_REF,decelerated_age62
cg23278885,0.8087
cg23322172,0.71753
cg23338195,0.69963
cg23367341,0.49177
cg23371436,0.60704
cg23376526,0.07539
cg23431721,0.13562
cg23510415,0.48964
cg23511118,0.15403
cg23568913,0.04466
cg23573129,0.50737
cg23668631,0.21107
cg23691771,0.86323
cg23710218,0.15042
cg23771366,0.4971
cg23777956,0.16262
cg23800435,0.83513
cg23814988,0.03398
cg23818978,0.7809
cg23832061,0.07807
cg23842572,0.76611
cg23923856,0.10533
cg23938637,0.93968
cg23944298,0.49494
cg24000528,0.61525
cg24093538,0.34461
cg24110063,0.84631
cg24110177,0.03416
cg24115922,0.02469
cg24125648,0.15727
cg24126612,0.8783
cg24145109,0.29684
cg24172278,0.88578
cg24208206,0.05267
cg24304712,0.07813
cg24332433,0.06523
cg24391240,0.0
cg24393673,0.29683
cg24407308,0.07862
cg24420742,0.76852
cg24429836,0.49318
cg24493940,0.16635
cg24493971,0.06396
cg24505122,0.87636
cg24505341,0.34196
cg24506130,0.93639
cg24521756,0.40493
cg24556026,0.61995
cg24580066,0.00509
cg24651706,0.06733
cg24674703,0.51833
cg24675983,0.83994
cg24708145,0.74697
cg24765579,0.05265
cg24801535,0.88132
cg24805559,0.83659
cg24859433,0.83582
cg24869272,0.44805
cg24894584,0.56172
cg24921089,0.25485
cg24924577,0.38063
cg25022327,0.8997
cg25024993,0.15174
cg25092328,0.05548
cg25136687,0.08321
cg25149516,0.92306
cg25189904,0.41654
cg25229964,0.85828
cg25251635,0.05541
cg25256723,0.6286
cg25291250,0.84868
cg25325512,0.3325
cg25371036,0.58379
cg25428451,0.09992
cg25448355,0.88845
cg25450266,0.05403
cg25459323,0.24902
cg25536676,0.16889
cg25567048,0.86051
cg25572904,0.70463
cg25587069,0.02284
cg25598319,0.17069
cg25613227,0.84933
cg25616777,0.66193
cg25629712,0.88398
cg25654926,0.75734
cg25663874,0.8977
cg25713185,0.22261
cg25741192,0.05325
cg25761955,0.89535
cg25769980,0.91217
cg25806704,0.61292
cg25841091,0.04717
cg25845889,0.62951
cg25876186,0.97086
cg25881193,0.06299
cg25898500,0.11511
cg25939203,0.54962
cg25939861,0.77362
cg25949550,0.14751
cg25955180,0.17597
cg25966649,0.90351
cg25977769,0.41416
cg26009035,0.25535
cg26022315,0.08446
cg26036479,0.00621
cg26074100,0.52299
cg26091688,0.07131
cg26096837,0.18297
cg26104204,0.06257
cg26109803,0.91621
cg26110733,0.89317
cg26116499,0.83723
cg26126740,0.78718
cg26156167,0.06102
cg26191447,0.16879
cg26201213,0.30487
cg26206456,0.84987
cg26212924,0.08119
cg26219051,0.32709
cg26266429,0.57871
cg26312920,0.73784
cg26350286,0.12688
cg26357744,0.09538
cg26359730,0.69635
cg26372792,0.01981
cg26382071,0.0401
cg26394737,0.09286
cg26394940,0.16686
cg26403206,0.86801
cg26403843,0.35672
cg26407029,0.89292
cg26411299,0.87779
cg26433444,0.79862
cg26470115,0.91885
cg26470314,0.64625
cg26471058,0.79975
cg26481784,0.01358
cg26527903,0.41563
cg26573797,0.94429
cg26581729,0.41206
cg26614073,0.44322
cg26665419,0.09085
cg26711820,0.36736
cg26746469,0.81625
cg26805150,0.82813
cg26815229,0.1286
cg26816491,0.60615
cg26824091,0.07415
cg26837962,0.95792
cg26842024,0.17328
cg26853093,0.01584
cg26866325,0.14476
cg26867866,0.02387
cg26881591,0.89644
cg26898166,0.13545
cg26905845,0.60962
cg26921969,0.31555
cg26932976,0.0487
cg26943759,0.85379
cg26950531,0.23559
cg26960221,0.78333
cg26967875,0.09626
cg26975476,0.82546
cg26987613,0.45163
cg27015931,0.14532
cg27067781,0.14729
cg27113347,0.66436
cg27114661,0.02149
cg27115863,0.37218
cg27134386,0.06768
cg27145096,0.12897
cg27152890,0.4731
cg27187881,0.12834
cg27243685,0.86416
cg27244482,0.79391
cg27272363,0.56866
cg27294156,0.82315
cg27326062,0.84597
cg27336439,0.83453
cg27367952,0.07151
cg27380813,0.66603
cg27396830,0.94434
cg27440834,0.78163
cg27493997,0.19491
cg27505538,0.06351
cg27514224,0.96463
cg27569863,0.39085
cg27626102,0.17129
cg27628536,0.16839
cg27637521,0.10983
cg27655905,0.05612
