ID_REF,ontrack_age59
cg23278885,0.81444
cg23322172,0.77624
cg23338195,0.77955
cg23367341,0.46406
cg23371436,0.62106
cg23376526,0.06627
cg23431721,0.13083
cg23510415,0.53007
cg23511118,0.138
cg23568913,0.04424
cg23573129,0.43332
cg23668631,0.20093
cg23691771,0.85268
cg23710218,0.12251
cg23771366,0.33338
cg23777956,0.15772
cg23800435,0.84049
cg23814988,0.03349
cg23818978,0.71537
cg23832061,0.06143
cg23842572,0.75426
cg23923856,0.09515
cg23938637,0.9222
cg23944298,0.46076
cg24000528,0.5898
cg24093538,0.35366
cg24110063,0.864
cg24110177,0.03251
cg24115922,0.01085
cg24125648,0.15856
cg24126612,0.86026
cg24145109,0.15291
cg24172278,0.82917
cg24208206,0.0671
cg24304712,0.08349
cg24332433,0.05396
cg24391240,0.11103
cg24393673,0.53615
cg24407308,0.10206
cg24420742,0.75271
cg24429836,0.46479
cg24493940,0.17055
cg24493971,0.09389
cg24505122,0.83915
cg24505341,0.27969
cg24506130,0.93579
cg24521756,0.31925
cg24556026,0.53051
cg24580066,0.00583
cg24651706,0.06761
cg24674703,0.43184
cg24675983,0.79833
cg24708145,0.7683
cg24765579,0.05278
cg24801535,0.90206
cg24805559,0.83025
cg24859433,0.78843
cg24869272,0.41325
cg24894584,0.74263
cg24921089,0.18122
cg24924577,0.33245
cg25022327,0.92277
cg25024993,0.19757
cg25092328,0.05141
cg25136687,0.10207
cg25149516,0.92542
cg25189904,0.41647
cg25229964,0.82247
cg25251635,0.05012
cg25256723,0.57438
cg25291250,0.84152
cg25325512,0.32308
cg25371036,0.58095
cg25428451,0.06916
cg25448355,0.91902
cg25450266,0.07093
cg25459323,0.18876
cg25536676,0.17291
cg25567048,0.84554
cg25572904,0.75773
cg25587069,0.01584
cg25598319,0.06546
cg25613227,0.84412
cg25616777,0.71081
cg25629712,0.91274
cg25654926,0.71208
cg25663874,0.97261
cg25713185,0.19868
cg25741192,0.04695
cg25761955,0.85887
cg25769980,0.93994
cg25806704,0.55445
cg25841091,0.04569
cg25845889,0.73311
cg25876186,0.96782
cg25881193,0.04865
cg25898500,0.08931
cg25939203,0.53797
cg25939861,0.87638
cg25949550,0.12631
cg25955180,0.13136
cg25966649,0.86647
cg25977769,0.41868
cg26009035,0.26963
cg26022315,0.07792
cg26036479,0.0
cg26074100,0.66481
cg26091688,0.0491
cg26096837,0.18991
cg26104204,0.08196
cg26109803,0.88437
cg26110733,0.91977
cg26116499,0.74494
cg26126740,0.77088
cg26156167,0.0601
cg26191447,0.17005
cg26201213,0.29012
cg26206456,0.89001
cg26212924,0.0787
cg26219051,0.3004
cg26266429,0.56624
cg26312920,0.7062
cg26350286,0.09096
cg26357744,0.10188
cg26359730,0.68386
cg26372792,0.01685
cg26382071,0.05387
cg26394737,0.07648
cg26394940,0.10844
cg26403206,0.89389
cg26403843,0.43855
cg26407029,0.92149
cg26411299,0.8562
cg26433444,0.80994
cg26470115,0.90585
cg26470314,0.58067
cg26471058,0.78916
cg26481784,0.00872
cg26527903,0.83986
cg26573797,0.95548
cg26581729,0.41254
cg26614073,0.36619
cg26665419,0.07288
cg26711820,0.29715
cg26746469,0.88386
cg26805150,0.81267
cg26815229,0.11554
cg26816491,0.52725
cg26824091,0.07564
cg26837962,0.91822
cg26842024,0.18084
cg26853093,0.01355
cg26866325,0.14304
cg26867866,0.03707
cg26881591,0.90612
cg26898166,0.12566
cg26905845,0.55685
cg26921969,0.28966
cg26932976,0.06231
cg26943759,0.861
cg26950531,0.29714
cg26960221,0.79484
cg26967875,0.08972
cg26975476,0.83475
cg26987613,0.46375
cg27015931,0.12914
cg27067781,0.11002
cg27113347,0.68707
cg27114661,0.01231
cg27115863,0.29379
cg27134386,0.07406
cg27145096,0.13571
cg27152890,0.30976
cg27187881,0.09058
cg27243685,0.78306
cg27244482,0.62875
cg27272363,0.49493
cg27294156,0.82046
cg27326062,0.85572
cg27336439,0.6943
cg27367952,0.05335
cg27380813,0.74384
cg27396830,0.95961
cg27440834,0.85706
cg27493997,0.19921
cg27505538,0.05139
cg27514224,0.92662
cg27569863,0.26079
cg27626102,0.1268
cg27628536,0.17408
cg27637521,0.1153
cg27655905,0.06444
